specific_humidity,LW_down,SW_down,rainfall,sst,t2m,GBI_history,GBI
2.586305915,276.4893636,223.4013266,1.105940507,272.6645471,271.2432422,5219.01885,5487.49829
2.322653295,270.7277514,250.2301167,0.538003849,272.6996286,271.4417606,5235.6625,5512.80745
2.56557475,289.0501062,211.0423383,2.519292833,272.7594484,272.3379734,5254.44678,5511.50561
2.873913575,290.7585508,197.5257825,1.149356352,272.8242007,272.6038175,5269.82888,5477.94477
2.781342942,274.1133853,227.6885492,1.3488284,272.8405231,272.6273909,5301.96622,5423.75322
2.489704687,272.7568378,247.6321077,1.28869626,272.8126687,272.1402609,5345.53811,5367.52599
2.51791201,274.2224964,237.6011326,1.759921171,272.8972636,272.0185321,5393.74793,5320.9089
2.690620781,283.7493011,225.733331,1.710447094,272.9408301,272.3735319,5444.78014,5276.96678
2.888782611,290.2832562,214.7967226,1.361432502,272.9861746,272.7864225,5487.49829,5239.47074
2.980886103,288.3354306,217.1686549,1.771286273,273.0276004,273.1606014,5512.80745,5212.8043
2.991831027,281.8743117,232.2614953,1.048753112,273.0563631,273.2463323,5511.50561,5192.49203
2.949660936,279.0766904,246.7141981,0.993202901,273.0752786,273.2149323,5477.94477,5171.63204
2.946601863,280.8062182,247.2703878,1.67076183,273.103579,273.3227658,5423.75322,5151.46978
3.092152004,288.7721081,224.2305867,1.092489803,273.1306051,273.5191885,5367.52599,5140.73969
3.331175363,281.3227811,254.93278,0.504598636,273.1530052,274.0943631,5320.9089,5129.78341
3.639842155,290.3744779,261.1709532,2.380149778,273.1694697,274.4584436,5276.96678,5105.66571
4.316227857,299.9302678,212.3828515,3.331454896,273.1769063,275.3958486,5239.47074,5078.31076
4.225097208,302.6538888,209.2394498,1.802481518,273.1879413,275.1762292,5212.8043,5067.01027
4.427869907,311.2680795,182.299614,1.374327707,273.2097625,275.1530446,5192.49203,5080.09676
4.400494408,309.6059067,180.2887079,0.955506998,273.2550732,274.8579665,5171.63204,5121.94217
4.124266101,306.8498883,182.2489699,1.191338472,273.3211127,274.6017792,5151.46978,5178.04792
3.903820903,299.4703455,203.4840138,1.55364572,273.4022882,274.5413007,5140.73969,5211.10519
3.849545617,296.511247,215.9578058,1.014789787,273.4745287,274.9697161,5129.78341,5214.76509
3.909155579,298.4349407,217.5299577,0.704932058,273.5355573,274.7884125,5105.66571,5210.31822
3.774701186,303.0287171,202.8216134,0.840237759,273.5803606,274.5987077,5078.31076,5202.89032
3.775316676,300.2817531,226.7092657,0.725709332,273.6204329,274.780363,5067.01027,5195.87158
4.251994249,299.4631548,230.044293,1.053165917,273.6758384,275.3036641,5080.09676,5191.97804
